Word,Frequency
wnętrznościach,1
pytać,5
każde,10
ojej,1
środkowej,1
zmarłym,1
każda,6
każdej,6
kapralem,1
rzucaj,1
wyjściem,1
włoszkę,1
głośne,2
zaświeciły,1
sposób,19
klęskach,2
dzielnych,3
prawą,5
żyli,1
włoszką,1
adres,2
utęsknieniem,1
defilującymi,1
dziwaczną,1
przedwczoraj,2
przebił,1
tutki,2
przyobiecać,1
roześmiał,6
rozłącz,1
izbie,3
autora,1
genueńskie,1
oślepia,1
baranek,1
ocalimy,1
promieniejący,1
rzucili,6
pociągając,2
miotły,1
wracać,1
suknem,2
kwiatu,1
zapłaci,1
wycierał,1
rozpięte,1
ludźmi,4
chwyta,1
nakręcić,1
pochyliwszy,3
prośbę,2
otrzymała,1
kwiaty,3
zdusili,1
poddawał,1
kominiarczyku,1
miauczą,1
wlepionym,1
sposobie,1
nakręcił,1
znajdowali,2
radzi,5
przeczyste,1
kominiarczyka,1
wracał,2
głośno,27
wycierpiał,1
pędzle,1
wyrzucałbym,1
więzienia,1
ubierze,1
lada,6
więzieniu,6
barania,1
pomyślawszy,1
pieściła,1
obrócił,7
opiekun,1
upadnie,2
niczego,6
przedrzeć,1
oślepli,1
odmawianiem,3
wracaj,1
sześcioma,1
wracam,1
babką,1
ojcowie,4
wodząc,2
przypominające,1
uczeń,5
wecował,1
progiem,1
prośby,2
pokryć,1
ogarniał,1
babkę,3
wchodziły,1
spożywał,1
mokre,1
obrócić,2
rozmaici,1
mokra,1
chodziłbym,1
zostańcie,1
powiedzieli,2
zostawiła,1
róża,1
późnego,1
żyje,27
spuszczonym,1
tańczy,1
gra,2
mogiłach,1
zasmucisz,1
widywać,1
ścieżyna,1
dużego,1
upewnić,1
przesadą,1
wyrżnę,1
namiotu,1
włoszku,2
pismem,1
ławkach,6
zrozumiałem,3
wycałowali,1
odkłoni,1
wymierzył,1
sposobem,7
gry,2
polubiła,1
osłabł,1
edmondo,1
poprowadziła,1
szóstej,1
izba,2
łakotek,1
czeka,9
ostatnią,6
pocałunkiem,1
boleści,5
katedrze,1
wiecie,6
babka,9
powiada,9
biedniejszy,1
bottini,9
waga,1
skrzypcach,2
naraziłby,1
wagi,1
suknią,1
wyjmuje,1
mokry,1
zamroczonym,1
wejściem,2
płaszczyźnie,1
siwym,1
babki,4
suknię,4
niegodnym,2
dziękowała,1
szału,1
uczuć,6
żałość,2
policzki,2
wisiały,2
trzymajcie,1
dziewięciu,4
szalony,2
osiemnastym,1
szalikiem,1
podarowałeś,1
przepaścią,1
warsztatów,2
czemu,6
lubią,4
pojawił,1
wisiało,1
wisiała,1
kapeluszami,2
nadrzecznego,2
waha,1
można,31
szalona,3
poduszą,1
ciasto,2
izby,15
działa,1
policzek,1
żyję,5
śmieszków,2
wypoczywał,3
tupotem,1
uniesieniem,2
rozstawiwszy,1
ścieżynę,1
parapet,1
bydlęta,1
działo,3
nieprzytomnym,1
wyniosłości,1
czego,20
lubił,2
dzielni,2
lubię,7
kamienia,1
rozmawiają,3
dzielne,2
mokrą,1
różę,1
trumienka,1
staliśmy,2
piór,2
lenistwem,1
ścieżyną,2
żyją,7
wyróżnia,1
wysiłek,3
dzielna,1
garronem,5
kolorowe,3
kominowych,1
męczyła,1
prawdziwy,2
suknie,1
bratem,1
spuchniętą,1
dzielny,9
wami,5
więźniach,1
parterze,6
prawdziwe,2
zrzucając,1
przebył,3
prawdziwa,2
lanc,1
izbę,2
trzeźwiły,1
prześmiewał,2
schylonego,1
barbarzyństwo,1
pajaca,2
ślizgawce,1
cholery,1
książkami,8
łotrostw,1
popychając,1
nurtowała,1
odsunęła,2
prezentowała,1
wystąpili,2
tutkę,1
ochotnikiem,1
municypalnych,1
pędził,1
ryżem,1
bacznie,3
farbami,2
sklepiku,2
westchnienia,1
właśnieśmy,1
przebiegłszy,2
złotych,1
sławny,1
winieta,1
rosnącą,1
długich,1
ubywało,1
zmywa,1
dopytywały,1
zabili,1
genueńskiej,1
ściśnięty,1
zirytowany,1
świadomość,1
błogosławieństwem,1
stracili,1
żeńskiego,1
rzucił,35
sławna,1
zbywa,1
łokciem,3
swej,12
senatorem,1
poczęstować,1
przeciwległym,1
śniegiem,2
bęc,1
odpocząwszy,1
prętami,1
stróż,2
zawiasy,1
doprowadzili,1
długiej,4
przybywało,1
spytać,4
numerem,1
rzucić,3
wskazano,1
nabrzmiałych,1
powykręcane,2
przyszedł,41
dowlokłem,1
bijatyki,1
trącało,1
bólem,2
względu,1
zakrzywionym,1
jakąście,1
myślałam,1
spośród,1
zrozumiałym,1
bardzośmy,1
zapewniam,1
lato,4
wasz,2
laty,10
przygarbionym,1
bijącym,2
gromada,1
cóż,20
wyratował,1
obarczony,1
lata,25
zduszonym,3
przyjmuję,1
zarabiała,1
wasi,1
niemocnego,1
fosforescencje,1
trwożną,1
wyjęła,1
narodowej,2
zupie,1
żywi,2
drżenie,1
przeciągły,1
końca,9
żywe,3
żywa,2
żywy,4
cztery,28
bohaterze,2
prawdziwą,2
ośmiu,4
olbrzym,3
popisywali,1
wspinając,2
zbliżył,15
żywo,8
wart,2
ciemnej,1
książkach,1
zbierał,2
oderwać,4
świadectwa,4
nieszczęsnych,2
końcu,7
schodź,7
zabija,2
cromi,2
przeciągłe,1
wyzdrowiejesz,1
obawie,2
końce,3
dzielnymi,1
rozmowę,1
ściśnięte,3
genueńskich,1
bałwany,1
przedostatnim,1
podpierając,1
żaglowej,1
słabnącego,1
szczaw,1
okularach,5
niemłody,1
buenos,12
czujecie,1
skąpy,1
dziesięcioletnie,1
szczęśliwca,1
oderwał,2
hej,2
szumem,2
dzieciątka,1
zebrał,4
pozna,3
medalów,1
marynarz,4
stracisz,1
chorągiewkami,1
najpierw,15
rzucał,1
widzieli,7
pisarczyk,2
niezupełnie,1
godzin,12
zebrać,1
pszenicznych,1
adresie,1
zdjęto,1
tłumaczy,1
oślepili,1
skrwawioną,1
piszczą,1
zdjęty,1
oburącz,2
milczące,2
wzruszeniem,2
pokornym,1
wysoko,10
skakał,1
drzemią,1
mówiła,15
stawał,6
najdroższą,1
spełniliście,1
milczący,1
długimi,5
płaszczem,2
szlochać,2
stawia,3
pokrył,1
dzieciątko,1
oderwie,1
wysoki,10
wyśmiane,1
mówiły,2
wysoka,3
kochające,3
mówiło,1
dorównać,1
zimny,1
kiedy,243
reszta,3
budowie,1
niezwykłego,1
właśnie,45
reszty,1
musiałbyś,1
obywacie,1
spytał,2
skinęła,1
kochającą,1
wytrzymania,1
prawy,1
jasnymi,13
zapłacę,1
nabrzmiałymi,1
palców,1
utoniesz,1
chce,20
zieleni,1
pnie,1
ławkami,5
skrzydeł,2
zimno,4
zimna,3
utkwione,1
zimne,1
bukiecikami,1
umączone,1
zmysł,1
szczęśliwej,2
gdziekolwiek,4
znajdzie,8
płomienie,2
oczyszczony,1
schody,7
zamiar,1
zamykał,2
bruku,1
najdroższy,1
rozłączyć,1
oparł,4
tutaj,17
końmi,3
mułami,1
prawo,11
zbliżając,2
leżącym,1
oddawszy,1
andrzej,1
sukienną,1
zadanych,1
prawe,1
oczyszczona,1
prawa,1
najdroższe,2
siebie,53
zrozumiałeś,1
przykrościami,1
krymie,2
chwytają,1
siecią,1
bladawy,1
zmęczeni,2
chcą,3
lazł,1
krople,2
księgarzowi,1
okolic,1
pacierz,3
cała,25
kropli,1
chcę,22
opuszczę,1
hiszpanię,1
nieprzyjacielskie,1
kolorze,1
poprowadził,1
straszne,3
przestała,1
wewnątrz,8
zostali,5
straszna,1
przyglądaj,1
biednie,3
wyspać,1
niebiańskiej,1
nieszczęsnym,1
resztę,5
przerzynał,1
powlókł,3
pojedziemy,2
porwały,1
nożyny,1
bohaterem,2
jadalni,1
wycierpiały,1
świecie,18
wiązkami,1
założył,1
klasach,2
wokół,1
odmowy,1
rodaków,1
zmieniał,1
pojeździe,1
straszny,1
wiszącym,1
swym,4
dawać,4
zasłoniła,1
bójkę,1
składając,4
warsztaty,1
rozwiązuje,1
zostaję,3
zaciemnia,1
wykrzywiona,1
dojeść,1
wściekły,1
posępnych,1
cało,1
ojczysty,1
całe,21
cały,68
rączki,2
fajką,1
rówieśników,1
tamował,1
traktował,1
drgnął,2
mojeż,1
wesołość,1
popchnął,3
gadał,1
kędziorów,2
czernają,1
państwa,11
fajkę,2
oknu,2
byłyby,1
daremne,3
kroplę,1
uklękła,1
bójką,1
państwo,8
kalectwa,1
okno,7
natkał,1
przedstawicieli,1
stołu,13
łazarzy,1
stoły,1
warsztatu,1
mego,36
dostawali,1
państwu,1
rozumując,1
okna,23
kalectwo,4
robocie,1
chwytali,1
wydawcy,1
zmienili,1
zawiadamiała,1
guziczki,2
dalszej,2
ciszę,2
kryła,1
gadać,3
ziarnku,1
wpółciemnego,1
całą,31
suchego,1
świecić,1
wieżyczka,1
mójej,1
spędziłem,1
wielkolud,1
świata,6
kowal,18
stancyjki,4
odmowę,1
twymi,2
zostaje,3
poprowadzić,1
dawaj,1
zawahała,1
wyczytane,1
wiedzy,1
przycisnęła,2
huk,3
bójki,1
przychodziły,1
zabierzcie,3
pracy,35
sierżant,5
cisza,3
podprowadził,1
wyśmiał,1
szerokości,1
przychodziła,3
pracowitych,1
wryta,1
srebrnym,1
pocztą,1
bladą,6
maszyny,2
łasili,1
przylądki,1
kropel,1
ranionych,1
okup,1
cierpieniem,2
pokornie,1
klaszcząc,1
bogatych,1
poniesie,1
złotymi,1
roztrzaskał,1
hiszpanie,1
opada,1
przyglądał,1
otrząsał,1
gładki,1
światów,1
opuszcza,2
skończywszy,3
zatrząsł,1
praca,7
municypium,2
odszukać,5
bezsenne,1
siwymi,4
ciszy,4
dryblas,2
kołysał,1
zmieszały,1
memu,4
nawyknąć,1
rozpętała,1
gromady,1
znienacka,3
zakołysał,1
rączce,1
rzuciłem,2
jakże,35
osłupieli,1
piątym,1
blada,4
wyższej,5
cordowie,1
zaryczał,2
żadna,1
czytał,9
żadne,1
zaniedbywać,1
blade,3
otwierał,4
klasami,1
idącej,1
porównaniu,3
biednej,6
odmawia,1
przedmiot,1
rączek,1
sławie,1
zachowajże,1
pracę,6
opadł,2
gadam,1
choć,35
blady,12
nieznanym,1
pracą,9
rzucała,1
straszną,1
rezygnacją,1
czytać,16
piśnij,3
poczuł,2
zdzielże,1
kołysce,1
piśnie,1
najtkliwszej,1
słuchajcie,1
maszynę,4
okrutniem,1
otwierać,1
przestały,1
izdebce,1
niespodziewana,1
ruch,14
mizerniejsza,1
gniewniej,1
ograniczyć,1
widzianych,1
stancyjce,3
myślałem,12
niechybną,1
mizerniejszy,1
siodłarza,1
wbić,1
rozmawiali,6
ukosa,3
uściskałem,1
okryć,1
silnego,1
idącym,1
chłopczynie,2
wpółżywy,1
biednym,3
dół,5
marynarzy,6
młota,1
rzadkich,2
karnawałowej,1
chodnik,1
mężczyznę,1
słupem,1
mówiącej,1
stołowi,2
wiedziało,1
metr,1
racji,1
ujrzeliśmy,2
zobaczycie,1
przeładowana,1
rudy,2
wiedziała,3
zrozpaczona,1
napisali,1
myślący,1
żałują,1
rude,2
okrył,2
mężczyzną,5
uroczystość,3
odzywały,1
babce,1
skalisty,1
spodziewając,2
marynarza,1
wioślarzami,1
piosenki,1
marynarze,6
posypały,1
wbili,1
ustawał,2
ucieka,1
trącili,1
sardynii,1
zrozpaczony,1
trzasnął,3
rozrzucone,1
statków,1
kwitnącą,1
płynęła,1
ustawia,2
zmiłuj,3
umysłem,1
poważna,1
masztów,3
napisane,3
poważne,3
jednakże,2
zmartwienia,3
napisana,2
raźnym,1
poważny,5
turyn,2
beze,1
kiedyśmy,13
zapałek,2
błogosławi,4
starczyło,1
zapałem,6
słupie,1
jenerała,1
ich,117
robiąc,1
rudą,6
uroczyście,2
zaledwieśmy,2
spoceni,1
skostniały,1
czytam,2
utrzymywałby,1
daleka,9
pobliskiej,2
śpiewać,5
czytaj,1
rezygnacja,1
przecierpianych,1
uciekł,1
wdrapywać,1
sofie,3
uszyli,1
próżny,2
inteligentne,1
atramentem,2
daleko,29
próżno,2
wszyscyśmy,10
ostrugany,1
stołecznego,1
mężczyzny,1
próżni,1
izdebki,5
wyżyć,1
wyleciał,1
rośli,2
odziany,4
urągające,1
sukcesję,1
jasne,4
symbolem,1
uzbiera,1
spina,1
mężczyzna,7
abym,1
przebranych,1
żałuję,1
jasno,3
dawną,2
poglądał,1
ułamka,1
biegnącego,3
wstążkami,3
wdrapywał,1
przejechania,1
półkolem,1
śpiewał,4
pięć,13
orzeźwia,1
odziani,3
spiesz,4
ułamki,1
lekarzach,1
wybiegali,1
tamten,3
mętnych,1
przyciasnej,1
zawiązała,1
ustawić,1
schylali,2
garoffi,26
zaprowadziła,3
rączką,1
łączyły,1
wyszedł,18
łaskawej,1
pasażerami,1
daleką,1
ułożyli,2
koszykiem,1
nabierając,1
zmieniłem,1
mężnego,1
garrone,83
wdowa,1
słyszeli,1
utrzymać,4
wytrzeszcza,1
upomnieć,1
uspokajać,1
stancyjką,1
nisko,1
chwyciła,5
kajety,17
niski,1
dawny,3
idą,18
piosenkę,2
kajetu,3
poje,2
niska,2
zatrzymawszy,2
ścisnęło,1
nich,74
dokazywać,1
lepiej,21
ciepłym,1
wybuchnie,1
piwnice,1
zobaczyłbyś,1
idę,5
serwatka,1
niby,8
przerzedzone,1
dawna,4
ożyć,1
ciągłe,1
ścisnęła,1
zeszłym,3
gładzi,1
ciągła,1
dowódca,1
jasną,3
izdebkę,1
bladawą,1
zostawi,1
trykotach,1
przechodząc,12
wkrótce,4
dawno,5
dawni,2
krzyczą,1
umysłu,2
wiedzą,6
czystą,2
dawne,2
pola,4
kompanija,1
ofiarować,2
bawołów,1
nasłuchałem,1
przepasane,1
lokajów,1
gumę,1
pole,1
krzyczy,4
chlebem,5
rozpoznają,2
niej,47
lustro,1
dokazywał,1
niespodziewanie,2
zostawiając,5
mojej,24
szczyt,1
przepasany,2
oszukiwał,1
skończone,6
twych,5
nasłuchując,2
ile,31
skończona,1
służąc,1
wcześniej,2
pieścić,1
żonie,1
pogrzebie,1
ciec,1
twój,42
pędzącej,1
ilu,4
warunkach,1
dawał,4
wyozdobił,1
przebywała,1
gumowe,1
dwudziestego,2
odprowadzają,1
idź,33
wesela,1
zrozpaczoną,1
zdradza,1
sąsiedzi,2
pomylił,1
oddalać,1
stóp,4
poważną,2
weseli,5
czysty,4
abyś,1
sukienkach,1
odezwały,1
pomp,2
męczennicy,1
musiał,25
osłupiałem,1
czyste,1
wylecieli,1
kaduka,2
zaprosił,4
karmazynowymi,1
custozzą,2
wylot,3
adresową,1
odbierając,1
wyspie,1
pieścił,1
polu,5
piśniesz,1
rzymie,2
ulitujcie,1
wywieziony,1
pachami,1
wiszące,1
altany,1
toczy,1
dokończony,1
skórkę,1
zdołały,1
jednych,2
stałam,1
nieprzyjaciela,1
świeci,1
malutki,3
machnąłem,1
świece,4
stałby,2
świeca,2
niedawno,2
szczęśliwy,10
niezmiernych,1
potęgi,1
pistoletu,1
roiły,1
szczęśliwi,6
niedawna,1
oddalał,1
obróci,1
zdawał,16
schodki,2
musisz,5
zatrzymywali,6
uważasz,1
pasję,1
bagnetów,2
cień,5
nieraz,20
wytrwale,1
potęga,1
łódek,1
okrycia,1
nikt,33
przerzucam,2
nadając,1
pora,1
przecierpieć,2
paniczyk,2
koronkowym,1
szarej,1
trudno,3
artylerzystami,1
krain,1
nierad,2
naturalną,1
trudne,3
treść,1
bierze,8
trudna,2
źle,17
cudowny,2
postanawiaj,1
postępek,2
potęgę,2
postępem,1
jedziesz,1
zawinisz,1
kraje,1
zapasowymi,1
zajdziemy,1
chłopca,81
gabinetu,1
podparty,3
zebrane,1
miesiącach,1
przecierpiał,1
szczęśliwą,2
niedawną,1
zdziwieni,1
zginę,1
nimi,29
chłopak,36
zamyślenia,1
zebrali,1
ukazywać,1
uwielbiał,2
obrazić,1
zamierzchły,1
nieboszczątka,1
ludka,1
samotnej,1
smaczny,1
kraju,12
ruszaj,1
pomyślałem,5
rozdzierał,1
odszepnął,1
rozdymany,1
uwięzi,1
brakło,3
wołający,1
żebrać,2
uczynisz,1
ściągnął,2
duszę,13
nagroda,2
spłacał,1
odmawiał,1
zasadzone,1
odrzekła,7
cios,1
oddaliśmy,1
stół,14
zapalone,2
słowy,4
noches,1
martwymi,1
głos,38
szkoda,2
wzruszyła,1
nagrody,13
obraził,2
wróciliście,1
brakowało,3
ósemka,1
żadnym,3
duszą,3
atlantycki,1
zachodzi,1
zebrany,1
oddalić,1
odsuwanie,1
pojawienia,1
buziami,1
krzyknie,3
moździerza,1
uderzę,1
myślże,1
dusza,6
nagrodę,8
zapychał,1
przyjdzie,20
dusze,1
obrazie,1
trzasku,1
przystawił,2
rączkach,1
zmiotło,1
płomieniach,1
niekształtne,1
świat,15
minutę,1
hrabiego,1
oddalił,7
nieobyczajność,1
gęstwiny,1
paszy,1
odrobił,2
piątego,1
jawie,1
wyższych,1
wystających,1
trzynastoletni,1
świecą,1
minęło,1
obrazka,1
gestu,1
uwiązane,1
trapezie,1
poza,12
znęcali,1
robotników,10
odzianą,1
obrazki,1
bolejącej,1
własnej,1
polubił,1
obrazku,1
starodawna,1
lewej,3
zbiorem,1
wykrzyknął,2
ogląda,3
nagrodą,1
szczękały,1
dzieciństwa,3
wyprzedził,1
instrumentów,1
rękojeść,1
umysł,3
karabatalion,1
duszy,17
chłopcy,40
odrobić,1
wystraszonych,1
zbladł,4
chłopcu,27
słyszanym,1
zaniedbasz,1
fartuch,3
wosku,2
godzinie,5
przełamać,1
ustąpił,3
dostrzec,1
narodowych,1
żałuje,1
naturalnie,8
miesięcznym,1
obszarpanego,1
zabrudził,1
świec,1
stałem,1
natknęli,1
obrazek,2
martwych,1
zeschłe,1
zawinili,1
froncie,1
wyglądał,6
ogrzane,1
bojowym,1
krześle,1
rzeczach,1
uliczce,2
niewzruszony,2
archipelagu,1
uśmiechnął,11
boncompagni,1
wierzyć,3
byłabym,1
jedziemy,3
kraty,2
dzienną,1
ubywa,1
baczność,1
nawałnica,1
świecy,1
oślą,1
fartucha,1
umarli,1
minuty,3
komendy,1
nauczycielkom,1
bojaźnią,1
poprzystawiały,1
grywa,1
wystrojony,3
szpilki,2
żądał,1
zapałkę,1
nadążyć,2
zapłacie,2
minuta,1
wiewały,1
wtedym,1
grypę,1
przyśpieszał,2
kładło,1
postronek,1
zgrabny,2
bytności,1
skórzaną,1
derossi,61
odwracało,1
przerzucił,2
sferom,1
jak,628
stąd,14
wyrzeźbiony,1
przodu,1
jam,5
kołdrze,1
odwracała,1
skamieniali,1
jaw,1
obraża,2
rączkami,1
spalony,1
przezwyciężę,1
kształcą,1
rządcę,1
dojrzeć,2
pociągłą,1
łoskotem,1
koszule,1
koszuli,1
szesnastu,1
szesnasto,1
hymn,5
ubranego,1
trzykroć,1
osłupiałym,1
dziejów,1
losie,1
kapał,2
dozorcę,2
porąbie,1
wydaliwszy,1
czerstwą,1
centarów,1
chciano,1
miesiącami,2
silniejszy,1
fontanny,1
castel,1
głębszą,1
ojcową,1
książkę,7
nellego,3
skórzane,1
grzeczność,1
wyjął,3
wzięci,1
ogłoszenie,2
kredens,1
pokład,7
książką,1
jedenaście,1
ogryzkiem,1
programach,1
odwracały,1
żartów,2
osłabienia,1
trudzą,2
gołe,2
burzach,1
zalała,1
koszulę,2
niejasne,1
bydło,1
przepraszała,1
książki,26
jej,147
około,5
brulion,2
pasek,1
podnosili,1
bydła,2
koszulą,1
pasem,1
książka,3
bywało,1
należysz,1
cięży,1
urwistym,1
synu,27
galonami,1
niejasno,2
zamaluję,1
posiedzi,1
szwedzką,1
obwodzą,1
syna,57
grozili,1
zachowałem,1
przyspieszył,1
recytować,1
porąbać,1
wartości,1
zapuchniętymi,1
przekroczenia,1
bydłu,1
wieczornych,4
wyłażą,2
wyścigi,1
topniał,1
groźbę,1
wzrok,12
kłótni,2
dzikie,4
bezpański,1
dotknę,1
gołą,2
pytaniami,1
zaciął,1
kochanego,1
jestże,1
gwardzisty,1
uprawiał,1
potoki,1
paskiem,1
żelaznych,2
czerstwi,1
wpadały,1
crosetti,5
pięknego,4
słowa,48
tutejszych,1
zagrzmiał,1
groźna,1
należał,2
groźne,1
śmiesznie,2
anioły,1
naprzeciwko,4
słowo,19
trudzie,1
sylwię,1
zwrotki,1
chwilkę,4
opowiadać,4
wełnę,1
wzburzonego,1
obywatelem,1
zawołał,54
ukrył,1
odchodził,1
uważają,2
czternastu,1
widzicie,2
łóżkach,2
sąsiadujących,1
adwokacikiem,2
ruszał,3
skórki,2
zapaloną,1
hałaśliwe,1
turkot,3
bolesnych,3
należeć,1
gibraltarską,1
potykają,1
przyszliśmy,2
rządca,2
umyka,1
śpiącym,1
potrafisz,1
rozwoju,1
włożę,1
wyzwolenia,1
roścież,1
jęknął,1
bojaźliwy,1
kościoła,6
łupiny,1
geografii,1
opowiadał,8
czynów,2
uważali,1
straszy,1
anioła,2
zemścić,1
jeśłibyś,1
kształci,1
okropnie,17
surowszy,1
piłą,1
wizytowym,1
warowni,1
widowni,1
pamiętniki,1
wyrzutów,1
garbatego,2
panowania,2
pomacał,1
naszkicował,1
odrobinę,2
paniczek,1
przywiązał,1
klucze,1
oddałbym,1
straszniejszą,2
wlokło,1
wyższa,2
wykształcił,1
wyższe,3
słomą,1
wyższy,2
oliwkową,1
jesteście,6
winszowali,2
kroków,5
przypomniałem,1
parowego,1
postępku,2
dżdżystym,1
grób,2
wstręt,2
zajęczego,4
szukał,6
zapisuje,1
paski,4
geografię,1
walizy,1
imbryk,1
przestrachem,1
pomniku,1
włochów,7
dokuczyć,1
szukać,10
ukryć,3
pomniki,2
wzmagając,1
szumiało,1
ofiarowało,1
bergamo,1
świeżość,1
nieduży,2
bliżej,9
worek,1
wlepionymi,1
zwyciężę,1
odmiennego,1
wzrosną,1
chcący,1
uścisnął,5
głośnym,2
zasmarowany,1
niedużo,1
zmazała,1
bochen,1
chłopięce,1
szlachetnych,1
wysłała,1
pokażcie,5
wyrzekania,1
potwierdził,1
siostrzeńców,1
ruszyć,1
wytężać,1
uścisnąć,2
wycieczek,1
czołem,6
złego,6
zegarze,1
adie,8
skrwawione,1
coście,1
wybladły,2
kołdrą,3
oświetlona,1
powóz,4
kołdrę,4
kwartał,1
wchodzę,1
szyjącą,1
powód,1
należałoby,1
niższych,1
wyrzekać,1
ruszył,10
wyglądała,5
księża,2
macie,7
maszyniści,1
caluśki,1
splam,1
urządza,1
księdza,2
jeszcze,276
ogień,12
przysłanych,1
wyrzeczemy,1
węglowego,1
światła,5
trosce,2
dłatego,1
żywymi,1
opowiedział,8
zwycięstwem,1
opatrzyć,1
ukazali,2
nadania,1
ratunkowe,1
wybladła,1
puści,1
lucia,1
wieczorna,2
strasznego,1
ratunkowy,1
notatki,1
zapisanym,1
rozłączać,1
umarłemu,1
północy,3
prześladował,1
rozmów,1
przykład,5
wysiłkiem,6
światło,10
podwórzu,3
uczuli,1
dwunastoletni,2
umiała,1
historii,2
geniusz,1
inwalidów,1
kończyła,2
podwórza,1
historia,1
szal,1
miesięcznego,2
wyglądały,2
zaciężyły,1
kończyło,1
najokropniejszym,1
posyłała,1
opowiedzieć,2
czapkami,1
opuszczając,2
chustka,1
wchodzi,4
obowiązki,1
wierzby,1
zabity,2
chustki,2
powrót,5
słuszna,1
śniło,2
gwar,3
szpitalną,1
powietrza,1
suplenta,1
dozorca,7
kuźni,10
odkryliśmy,1
powietrze,11
namyślał,2
dzieciach,4
łykali,1
panów,11
opowiada,2
kowalskiej,1
wypowiedzieć,2
powietrzu,12
szlachectwo,2
adwokatami,1
oberwał,1
zabłocony,2
dozorcy,4
zawapnionymi,1
pomysł,1
tłoczyło,1
zastąpi,1
podobno,3
chorążych,1
bośmy,3
chirurgiczną,1
umazanymi,1
podobni,1
wzięli,4
starając,2
podobna,3
zamieniali,1
podobne,5
drwinki,1
dzikus,1
uchwyciwszy,1
brutalnie,1
słów,11
skądciś,1
powstrzymywane,1
niegdyś,2
przypatrywali,1
skaczące,1
drożyn,1
podobny,7
zatrzymali,2
ubieram,1
książce,2
błagalnym,1
włożyła,2
mijała,1
przykuta,1
wieczorem,15
już,369
niezrozumiałe,1
przychodź,1
groźba,1
żywych,1
weźcie,1
szał,3
litości,7
szwadron,1
historię,4
zabiję,2
troski,4
groźby,1
wojenny,1
przenikliwym,2
uniwersytet,1
worki,2
wyróżniając,1
staraniom,2
tarasie,1
przybyłych,1
ubierać,2
brunatnej,2
książek,11
przesyłał,1
mówiących,3
gadajże,1
parze,1
szczudeł,1
poparzę,1
trudniejszym,1
zakładu,1
owych,2
ów,20
ślicznego,1
pójdźmy,6
wypowiedział,1
łodzi,1
chustką,1
wydzierającym,1
pobudzało,1
wzmagał,1
chustkę,2
parzy,1
garstce,1
podobał,3
zegarki,1
chorągiewki,1
uczyń,5
chorągiewka,1
zegarka,1
uczył,12
scena,1
bolejąc,1
przywieźli,1
kasy,1
ryknę,1
dzieciaki,1
powijakach,1
szli,15
rodzinnych,1
wojsku,1
kasa,1
przeleciały,1
wojsko,3
kask,1
sceny,7
rykną,1
dzieciaka,1
dotknięci,1
zajada,2
uwiązaną,1
ognistej,1
kary,1
troską,1
noszami,1
tobie,23
obłęd,1
szanuje,2
okazujesz,1
zwykle,9
kark,5
zszedł,2
obowiązek,1
wciąż,1
znam,5
spacerze,2
przeleciała,1
ostatnim,4
szwajcar,1
znaj,1
przykolebawszy,1
znak,14
ostatnie,9
wojska,1
obieżyświatów,1
ostatnia,3
znad,1
bliżsi,1
sześćset,1
artykułu,1
czepiali,1
nieszczęśliwego,1
ścianie,4
wyjdzie,3
staranny,1
wsadzając,1
zrozumiem,1
wygniecione,1
podusili,1
uderzenie,1
żądam,2
ukrywałam,1
uczuł,7
wlokącej,1
nieopisanej,1
nieskończenie,5
wygnieciona,1
karę,3
kawa,2
dzieło,1
wstępować,1
trudem,12
strachem,2
szanują,1
wyznaczył,1
karą,1
dzieła,1
rozszerzonymi,1
wyczyścił,1
rzędu,2
przyjmijcie,1
żal,20
rzędy,7
najtroskliwiej,1
kolegium,1
podwórko,1
oklasków,6
rzymskiej,1
zatrzymani,1
aosty,1
dła,2
fanfara,1
znać,14
uczyć,10
przeleźć,1
kij,3
kim,2
szarym,1
wstępował,1
zegarek,4
knują,1
przedstawiło,1
staranną,1
szczęście,3
lombardczyków,1
szczęścia,5
zatrzymaliśmy,1
kształcie,2
zwolniała,1
uderzy,1
odesłano,1
puścili,2
uderza,2
przeczytam,1
pokłócili,1
szanuję,3
korytarz,4
wymyślił,1
chociaż,8
dnie,12
szum,1
znał,4
dnia,43
najdziwaczniejsze,1
ratujcie,3
prosili,2
szarfą,2
dniu,9
podpartą,1
wzmagała,1
umierają,2
żem,26
prowiantami,2
popalą,1
pogrzeb,2
niesie,2
wstydu,2
przyślemy,1
ślęczę,1
szczypie,2
listkami,1
mocniej,3
najdroższym,1
zobaczywszy,9
porzuciłeś,1
porwawszy,1
męskiego,1
umierali,1
czekaliśmy,1
odważnie,2
wyszukawszy,1
raineri,1
ratunkową,2
kwiatek,1
ucieszyła,1
wyczyścić,1
znikła,1
rozpalony,1
kamienną,1
żadnej,10
oniemiałem,2
kawę,1
wypaść,1
eleganci,1
przyniosłem,1
rozpalona,1
uderzenia,1
szyi,10
lecz,9
balkonach,1
koi,1
bezwładną,1
rubaszną,1
ślęczy,1
kwiatki,2
błagalnie,4
fasoli,3
zanurzał,1
kot,2
municypalni,1
przyciągnął,1
spracowanym,1
fasola,1
wojskowego,1
przeczytać,2
trotuarze,3
municypalny,1
bersalierzy,3
rabucco,1
lekarza,4
zarzuciła,1
przenikliwie,1
grzbietach,1
wyelegantowanego,1
głupi,1
leci,2
przekupniów,1
kołegi,1
sceną,2
bilety,1
