Word,Frequency
dba,1
swoimi,4
nieprzytomny,1
przyroda,1
widniała,1
powtarzam,1
merelliego,1
znużoną,1
zwycięża,2
języku,1
większym,2
obdartą,1
siedziały,1
siedziało,1
lombardzka,2
wycieczkę,2
języka,1
obrócony,1
pochodu,1
zimnymi,1
języki,1
ekwilibryści,1
wiązkę,2
wysuwały,1
siedziała,3
odpowiedzialny,1
wyjściach,1
kupowali,1
zużyć,1
namówili,1
dzieckiem,9
teatrze,4
radości,19
macierzyńską,1
niewyraźnie,1
anioł,1
wesołym,3
spadła,2
frantiego,6
karawanem,1
wszakże,26
wołała,1
galery,1
drzewach,1
wygramolił,1
przeprowadzały,1
palec,5
żywności,1
wychudłe,1
wołało,1
nadyma,1
dać,11
rykiem,3
rozproszonych,1
choćbyś,2
cieszył,1
uspokojonym,1
poobwijany,1
rodzinnym,2
przepchnął,1
palba,1
sylwii,2
założy,1
spowodowało,1
sylwio,1
niechcenia,1
sylwia,14
wścieklejsza,1
zobaczenia,3
najwięcej,2
kwadratowe,1
mroku,2
palca,1
nieśli,2
dał,40
palce,9
bojaźni,1
zależało,1
wygląd,1
rozpłakała,1
cieszyć,3
jakżebym,1
statku,4
niektórych,1
pokryły,1
robisz,3
wszechmoc,1
samotną,1
życiowych,1
miłej,1
włożyć,2
bielejące,2
przenikliwy,1
zachmurzał,1
córeczkę,2
dzisiejsze,1
najuważniej,1
wymieniał,1
mówiono,2
dźwięcznym,2
pachniało,2
wycieńczona,1
ostrożnie,1
dzisiejszy,3
podjęli,1
dowiozą,1
spotkaliśmy,4
skacząc,2
wprowadziła,1
łbach,1
powaliło,1
włożył,6
zwycięski,2
rozpisywaniem,1
okropnego,1
krótką,1
odchodzi,1
frantiemu,1
żółtymi,1
ogrodową,1
robino,3
dla,146
bacz,1
murach,1
doktor,13
założę,1
twardym,1
zdziwienia,3
artystą,1
przyśpieszył,1
przyniesie,2
rozkosz,2
wyprostował,2
sylwią,1
brudasów,1
płonącego,2
zabójcza,1
brygada,2
poczekalni,1
bohaterów,1
gruchotał,1
szalów,1
murami,2
cienkim,3
krzyczym,2
przenoszą,1
wstawał,4
dni,43
jarmarku,1
dno,1
obcinać,1
municypalnej,1
zamienić,1
triumfujący,1
tkliwością,2
wpółotwartymi,1
choćbym,2
konnojeźdźcy,1
reprezentantów,1
zadumaną,1
włochem,1
naszymi,4
zaraz,158
dom,19
głosy,9
daruj,1
porzuconymi,1
rzucanych,1
uroczysty,1
głosu,9
samemu,1
czterdziestej,4
babą,1
profesorze,1
wyśmiewaliście,1
wychodzić,3
pozostawiwszy,1
stron,13
poczciwego,2
zakryła,2
zwycięzcami,1
anglikami,1
zamienił,1
stopnie,7
wywołali,1
przebiegł,2
obchodzili,1
ciekawą,1
zakryły,1
poświęciły,2
stopniu,1
biedakami,2
broni,2
niewdzięczności,1
